CITY,LAT,LONG
100 Mile House,51.6534,-121.366
Castlegar,49.3217,-117.6403
Cranbrook,49.5117,-115.7569
Fort Nelson,58.8103,-122.7042
Fort St John,56.231792,-120.853895
Golden,51.27,-116.9308
Nanaimo,49.1361,-123.8613
Kamloops,50.7025,-120.3944
Kelowna,49.862336,-119.477367
Osoyoos,49.0322,-119.4689
Prince George,53.845,-122.6672
Penticton,49.4847,-119.5833
Prince Rupert,54.2244,-130.2833
Quesnel,53.0053,-122.4972
Terrace,54.5183,-128.5975
Vernon,50.260617,-119.270723
Whistler,50.144285,-122.960402
Williams Lake,52.13083,-122.14222
